method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,parameter,threshold,true_crossing_s,detected_crossing_s,detection_delay_ms,alarm_class,failure_flag
M1 TS-D-RLS,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.95,0.025,0.02912,4.12,late_or_on_time,0
M1 TS-D-RLS,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.9,0.05,0.05788,7.88,late_or_on_time,0
M1 TS-D-RLS,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.85,0.075,0.08292,7.92,late_or_on_time,0
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.95,0.04096,0.06144,20.48,late_or_on_time,0
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.9,0.06144,0.08192,20.48,late_or_on_time,0
M1 TS-D-RLS,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.85,0.08192,Inf,Inf,missed,1
M2 TS-SLTVKE,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.95,0.025,0.04324,18.24,late_or_on_time,0
M2 TS-SLTVKE,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.9,0.05,0.0816,31.6,late_or_on_time,0
M2 TS-SLTVKE,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.85,0.075,Inf,Inf,missed,1
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.95,0.04096,0.08192,40.96,late_or_on_time,0
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.9,0.06144,0.1,38.56,late_or_on_time,0
M2 TS-SLTVKE,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.85,0.08192,Inf,Inf,missed,1
M3 Dual EKF,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.95,0.025,0.045,20,late_or_on_time,0
M3 Dual EKF,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.9,0.05,0.09212,42.12,late_or_on_time,0
M3 Dual EKF,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.85,0.075,Inf,Inf,missed,1
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.95,0.04096,0.08192,40.96,late_or_on_time,0
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.9,0.06144,Inf,Inf,missed,1
M3 Dual EKF,Equal-Report,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,C/C0,0.85,0.08192,Inf,Inf,missed,1
M1 TS-D-RLS,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.95,0.25,0.243,-7.00000000000001,early,0
M1 TS-D-RLS,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.9,0.5,0.46852,-31.48,early,0
M1 TS-D-RLS,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.85,0.75,0.73208,-17.92,early,0
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.95,0.26624,0.3072,40.96,late_or_on_time,0
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.9,0.512,0.53248,20.4799999999999,late_or_on_time,0
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.85,0.75776,0.77824,20.4800000000001,late_or_on_time,0
M2 TS-SLTVKE,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.95,0.25,0.28884,38.84,late_or_on_time,0
M2 TS-SLTVKE,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.9,0.5,0.53384,33.84,late_or_on_time,0
M2 TS-SLTVKE,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.85,0.75,0.7848,34.8000000000001,late_or_on_time,0
M2 TS-SLTVKE,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.95,0.26624,0.32768,61.44,late_or_on_time,0
M2 TS-SLTVKE,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.9,0.512,0.57344,61.4399999999999,late_or_on_time,0
M2 TS-SLTVKE,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.85,0.75776,0.8192,61.44,late_or_on_time,0
M3 Dual EKF,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.95,0.25,0.3654,115.4,late_or_on_time,0
M3 Dual EKF,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.9,0.5,0.62916,129.16,late_or_on_time,0
M3 Dual EKF,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.85,0.75,0.87988,129.88,late_or_on_time,0
M3 Dual EKF,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.95,0.26624,0.38912,122.88,late_or_on_time,0
M3 Dual EKF,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.9,0.512,0.65536,143.36,late_or_on_time,0
M3 Dual EKF,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,C/C0,0.85,0.75776,0.90112,143.36,late_or_on_time,0
M1 TS-D-RLS,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.95,2.50012,2.18568,-314.44,early,0
M1 TS-D-RLS,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.9,5.00024,4.79192,-208.32,early,0
M1 TS-D-RLS,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.85,7.50008,7.25116,-248.92,early,0
M1 TS-D-RLS,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.95,2.51916,2.56004,40.88,late_or_on_time,0
M1 TS-D-RLS,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.9,5.0176,5.03832,20.7199999999998,late_or_on_time,0
M1 TS-D-RLS,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.85,7.51632,7.45472,-61.6000000000003,early,0
M2 TS-SLTVKE,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.95,2.50012,2.4304,-69.7199999999998,early,0
M2 TS-SLTVKE,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.9,5.00024,4.85716,-143.079999999999,early,0
M2 TS-SLTVKE,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.85,7.50008,7.45528,-44.7999999999995,early,0
M2 TS-SLTVKE,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.95,2.51916,2.56004,40.88,late_or_on_time,0
M2 TS-SLTVKE,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.9,5.0176,5.03832,20.7199999999998,late_or_on_time,0
M2 TS-SLTVKE,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.85,7.51632,7.51632,0,late_or_on_time,0
M3 Dual EKF,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.95,2.50012,2.61016,110.04,late_or_on_time,0
M3 Dual EKF,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.9,5.00024,5.08508,84.8399999999998,late_or_on_time,0
M3 Dual EKF,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.85,7.50008,7.58296,82.8800000000003,late_or_on_time,0
M3 Dual EKF,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.95,2.51916,2.64208,122.92,late_or_on_time,0
M3 Dual EKF,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.9,5.0176,5.12008,102.48,late_or_on_time,0
M3 Dual EKF,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,C/C0,0.85,7.51632,7.6188,102.48,late_or_on_time,0
M1 TS-D-RLS,Native,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,C/C0,0.95,25.00092,19.77444,-5226.48,early,0
M1 TS-D-RLS,Native,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,C/C0,0.9,50.00184,46.16136,-3840.48,early,0
M1 TS-D-RLS,Native,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,C/C0,0.85,75.00024,71.52264,-3477.60000000001,early,0
M1 TS-D-RLS,Equal-Report,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,C/C0,0.95,25.00848,22.87656,-2131.92,early,0
